發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
108,2,14,22,26,2,02萬華區,萬華區中華路1段182號,0,1,2,B03,2.0,42.0,2.0,8.0,50.0,14.0,9.0
108,3,7,8,25,2,02萬華區,萬華區環河快速道路下貴陽匝道,0,1,1,B03,2.0,75.0,4.0,6.0,40.0,14.0,16.0
108,3,3,9,18,2,02萬華區,萬華區環河南路1段與武昌街2段口,0,1,1,B03,2.0,59.0,3.0,7.0,50.0,5.0,1.0
108,1,30,19,36,2,02萬華區,萬華區環河快速道路往南(2層),0,1,2,B03,2.0,68.0,2.0,8.0,40.0,10.0,16.0
108,1,26,19,46,1,02萬華區,萬華區環河快速道路上匝道處,1,3,1,B03,2.0,40.0,2.0,8.0,40.0,10.0,7.0
108,1,24,13,44,2,02萬華區,萬華區貴陽街2段45號,0,1,1,B03,2.0,32.0,3.0,8.0,50.0,14.0,9.0
108,2,2,20,50,2,02萬華區,萬華區桂林路244巷20號與桂林路246巷口,0,1,3,B02,2.0,40.0,3.0,8.0,30.0,3.0,1.0
108,10,28,14,25,2,02萬華區,萬華區莒光路171號,0,1,1,B03,2.0,61.0,3.0,8.0,50.0,14.0,9.0
108,11,5,18,21,2,02萬華區,萬華區開封街2段54號對面,0,2,1,B03,2.0,29.0,3.0,8.0,50.0,14.0,9.0
108,12,8,22,30,2,02萬華區,萬華區環河南路1段與漢口街2段口,0,1,1,B03,2.0,67.0,3.0,7.0,50.0,3.0,1.0
108,10,20,14,58,2,02萬華區,萬華區西藏路與寶興街口,0,1,1,B03,2.0,37.0,3.0,8.0,50.0,5.0,2.0
108,11,14,22,35,2,02萬華區,萬華區康定路與桂林路口,0,1,1,B02,2.0,38.0,3.0,8.0,50.0,14.0,9.0
108,11,17,11,25,2,02萬華區,萬華區和平西路3段382巷與和平西路3段口口,0,1,1,B03,2.0,41.0,3.0,8.0,50.0,4.0,1.0
108,3,13,18,12,2,02萬華區,萬華區萬大路與環河南路3段口旁迴轉道,0,1,1,B03,2.0,44.0,3.0,8.0,50.0,4.0,2.0
108,3,22,17,55,2,02萬華區,萬華區光復橋往新北市上橋處,0,1,1,B01,2.0,66.0,3.0,7.0,50.0,8.0,9.0
108,5,3,17,9,2,02萬華區,萬華區德昌街與德昌街235巷口,0,1,1,B03,2.0,26.0,3.0,8.0,50.0,5.0,1.0
108,4,18,12,50,2,02萬華區,萬華區艋舺大道446號,0,1,2,B03,2.0,46.0,3.0,8.0,50.0,15.0,22.0
108,6,1,9,58,2,02萬華區,萬華區康定路53號,0,1,1,B03,2.0,50.0,3.0,8.0,50.0,14.0,9.0
108,3,22,7,34,2,02萬華區,萬華區環河南路1段344號,0,1,1,B03,2.0,37.0,3.0,8.0,50.0,14.0,9.0
108,6,12,16,25,2,02萬華區,萬華區昆明街與長沙街2段口,0,1,1,B03,2.0,63.0,3.0,6.0,50.0,4.0,1.0
108,7,4,12,58,2,02萬華區,萬華區昆明街與成都路口,0,1,1,B03,2.0,18.0,3.0,8.0,50.0,4.0,2.0
108,7,9,17,10,2,02萬華區,萬華區青年路174號,0,1,1,B03,2.0,38.0,3.0,8.0,30.0,14.0,9.0
108,6,29,15,10,2,02萬華區,萬華區西園路1段與和平西路3段口,0,1,1,B03,2.0,72.0,3.0,8.0,50.0,4.0,2.0
108,7,2,23,27,2,02萬華區,萬華區環河快速道路(二層往南，環河高架89燈桿),0,1,2,B03,2.0,59.0,3.0,6.0,60.0,14.0,7.0
108,4,29,19,10,2,02萬華區,萬華區長沙街2段與漢中街口,0,1,1,B03,2.0,26.0,3.0,8.0,50.0,3.0,1.0
108,7,5,19,55,2,02萬華區,萬華區中華路2段364巷24弄與中華路2段364巷口,0,1,2,B03,2.0,47.0,3.0,8.0,50.0,4.0,1.0
108,7,31,18,54,2,02萬華區,萬華區萬大路210號,0,1,1,B03,2.0,39.0,3.0,8.0,30.0,15.0,9.0
108,7,22,6,45,2,02萬華區,萬華區富民路115巷1號,0,1,1,B03,2.0,43.0,3.0,6.0,50.0,14.0,9.0
108,7,22,8,24,2,02萬華區,萬華區寶興街149號,0,1,1,B03,2.0,49.0,4.0,6.0,0.0,14.0,9.0
108,8,29,6,50,2,02萬華區,萬華區和平西路3段382巷與和平西路3段口,0,1,1,B03,2.0,52.0,3.0,8.0,30.0,4.0,1.0
108,7,9,8,39,2,02萬華區,萬華區艋舺大道與康定路口,0,1,2,B03,2.0,21.0,3.0,8.0,50.0,14.0,9.0
108,4,21,20,6,2,02萬華區,萬華區萬大路493巷與萬大路口,0,1,2,B03,2.0,42.0,3.0,8.0,50.0,3.0,2.0
108,4,8,13,57,2,02萬華區,萬華區西園路2段與艋舺大道口,0,1,3,B03,2.0,44.0,3.0,8.0,50.0,4.0,2.0
108,4,4,9,40,2,02萬華區,萬華區堤外便道與萬大路口華中橋水門,0,1,1,B03,2.0,54.0,3.0,8.0,40.0,3.0,1.0
108,4,14,13,35,2,02萬華區,萬華區中華路1段與長沙街2段口嘟嘟房停車場停車場出入口,0,1,1,B03,2.0,36.0,3.0,8.0,50.0,3.0,1.0
108,4,1,8,2,2,02萬華區,萬華區西藏路201號與西藏路口萬華國中停車場出入口,0,1,1,B03,2.0,41.0,3.0,6.0,50.0,3.0,1.0
108,2,14,11,55,2,02萬華區,萬華區昆明街與西寧南路50巷口,0,1,1,B03,2.0,65.0,3.0,8.0,50.0,3.0,1.0
108,2,25,7,14,2,02萬華區,萬華區寶興街與西藏路296巷口,0,1,1,B03,2.0,57.0,3.0,6.0,50.0,4.0,1.0
108,9,11,22,42,2,02萬華區,萬華區中華路1段與桂林路口,0,1,1,B01,2.0,54.0,3.0,8.0,50.0,5.0,1.0
108,3,31,17,52,2,02萬華區,萬華區國興路22號,0,1,1,B03,2.0,48.0,3.0,7.0,40.0,14.0,8.0
108,7,28,16,49,2,02萬華區,萬華區西寧南路與洛陽街口,0,1,2,B03,2.0,44.0,3.0,8.0,50.0,4.0,1.0
108,4,7,16,50,2,02萬華區,萬華區中華路2段416巷與中華路2段口口,0,1,1,B03,2.0,55.0,3.0,8.0,50.0,5.0,1.0
108,6,9,13,40,2,02萬華區,萬華區萬大路與環河南路3段口,0,1,2,B03,2.0,24.0,3.0,8.0,50.0,4.0,2.0
108,5,29,17,53,2,02萬華區,萬華區西園路2段164號,0,1,1,B02,2.0,55.0,3.0,7.0,50.0,14.0,8.0
108,7,4,22,43,2,02萬華區,萬華區武成街125巷6弄與武成街125巷口,0,1,1,B03,2.0,38.0,3.0,8.0,30.0,4.0,1.0
108,8,27,18,38,2,02萬華區,萬華區艋舺大道與環河南路2段175巷口,0,1,1,B03,2.0,45.0,3.0,8.0,50.0,3.0,1.0
108,7,7,7,11,2,02萬華區,萬華區環河快速道路與萬大路口華中橋水門口,0,1,1,B03,2.0,61.0,3.0,8.0,50.0,4.0,1.0
108,7,7,16,35,2,02萬華區,萬華區環河南路1段246號,0,1,2,B02,2.0,44.0,3.0,8.0,50.0,14.0,9.0
108,6,2,16,46,2,02萬華區,萬華區西藏路與寶興街口,0,1,1,B02,2.0,41.0,3.0,8.0,50.0,4.0,1.0
108,7,14,1,32,2,02萬華區,萬華區忠孝西路2段與昆明街口,0,1,1,B03,2.0,20.0,3.0,7.0,50.0,4.0,2.0
