,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
18746,109,5,6,7,20,2,05中正區,中正區忠孝東路1段與林森南路口,0,0,1,2,C03,8,1,5,50,4,2,1,5,4,5,7,1,1,3,2,3,2,12,1,18.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,43.0,9,1.0,22.0,9.0,121.5233135,25.04474146
18768,109,5,6,8,15,2,05中正區,中正區汀州路1段92巷與惠安街口,0,0,1,1,F01,8,1,5,30,4,1,1,5,4,3,6,4,4,9,5,5,2,16,2,64.0,2.0,8.0,1.0,1.0,7.0,9.0,8.0,20.0,2.0,16.0,6.0,6,1.0,22.0,9.0,121.5064925,25.02971663
18769,109,5,6,8,15,2,05中正區,中正區汀州路1段92巷與惠安街口,0,0,1,2,B12,8,1,5,30,4,1,1,5,4,3,6,4,4,9,5,5,2,16,1,55.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,1.0,23.0,6,1.0,22.0,9.0,121.5064925,25.02971663
18779,109,5,6,8,30,2,05中正區,中正區重慶南路1段114號,0,0,3,1,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,19.0,3.0,10.0,1.0,1.0,7.0,8.0,1.0,10.0,2.0,12.0,7.0,7,1.0,22.0,9.0,121.5131083,25.04177934
18780,109,5,6,8,30,2,05中正區,中正區重慶南路1段114號,0,0,3,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,18.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,44.0,7,1.0,22.0,9.0,121.5131083,25.04177934
18781,109,5,6,8,30,2,05中正區,中正區重慶南路1段114號,0,0,3,3,H02,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,19.0,2.0,7.0,1.0,1.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,7,1.0,22.0,9.0,121.5131083,25.04177934
18782,109,5,6,8,30,2,05中正區,中正區重慶南路1段114號,0,0,3,4,H02,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,2,18.0,2.0,9.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,7,1.0,22.0,9.0,121.5131083,25.04177934
18804,109,5,6,10,15,2,05中正區,中正區仁愛路2段與新生南路1段口,0,0,2,1,C03,8,1,5,50,4,2,1,5,4,5,7,1,1,1,5,5,2,13,1,27.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,23.0,23,1.0,22.0,9.0,121.5326646,25.0383006
18805,109,5,6,10,15,2,05中正區,中正區仁愛路2段與新生南路1段口,0,0,2,2,C03,8,1,5,50,4,2,1,5,4,5,7,1,1,1,5,5,2,13,1,60.0,2.0,8.0,1.0,1.0,7.0,15.0,1.0,10.0,1.0,13.0,44.0,23,1.0,22.0,9.0,121.5326646,25.0383006
18812,109,5,6,11,31,2,05中正區,中正區濟南路2段與臨沂街口,0,0,1,1,C03,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,1,34.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,6.0,6,1.0,5.0,4.0,121.5300682,25.0405741
